player_id,número,nombre y apellido,posicion,edad,fecha de nacimiento,pie,pais de orígen,altura,valor,club anterior
19968,31,Gustavo Eberto,Portero,20,30/08/1983,,Argentina,0.0,N/A,CA Boca Juniors II
39097,-,Ezequiel Medrán,Portero,23,28/12/1980,Derecho,Argentina,183.0,N/A,AMSD Atlético de Rafaela
19937,1,Roberto Abbondanzieri,Portero,31,19/08/1972,Derecho,Argentina,186.0,N/A,Getafe CF
19948,12,Willy Caballero,Portero,22,28/09/1981,Derecho,Argentina,186.0,N/A,Boca Juniors U20
63395,25,Cristián Muñoz,Portero,26,01/07/1977,Derecho,Argentina,177.0,N/A,CA Sarmiento (Junín)
1282,-,Aníbal Matellán,Defensa central,27,08/05/1977,indeterminado,Argentina,0.0,N/A,FC Schalke 04
27489,-,Luis Amaranto Perea,Defensa central,25,30/01/1979,Derecho,Colombia,180.0,N/A,Independiente Medellín
30852,-,César González,Defensa central,22,25/01/1982,Derecho,Argentina,177.0,N/A,Boca Juniors U20
212843,-,Cristian Traverso,Defensa central,32,17/04/1972,Izquierdo,Argentina,179.0,N/A,Querétaro FC
20002,2,Rolando Schiavi,Defensa central,31,18/01/1973,Derecho,Argentina,191.0,N/A,CA Newell's Old Boys
3417,6,Nicolás Burdisso,Defensa central,23,12/04/1981,Derecho,Argentina,183.0,N/A,Boca Juniors U20
19963,13,Diego Crosa,Defensa central,28,18/04/1976,Derecho,Argentina,180.0,N/A,Real Betis Balompié
20003,23,Matías Silvestre,Defensa central,19,25/09/1984,Derecho,Argentina,185.0,N/A,CA Boca Juniors II
54348,35,Facundo Imboden,Defensa central,24,02/02/1980,Izquierdo,Argentina,183.0,N/A,CA Boca Juniors II
19977,36,Federico León,Defensa central,19,30/10/1984,Derecho,Argentina,180.0,N/A,Boca Juniors U20
7924,-,Claudio Morel Rodríguez,Lateral izquierdo,26,02/02/1978,Izquierdo,Paraguay,175.0,N/A,CA San Lorenzo de Almagro
