player_id,player_name,from_club
3854,Juan Román Riquelme,LaLiga
18733,Julio Cáceres,Liga MX Apertura
30767,Gabriel Paletta,Premier League
5847,Lucas Castromán,Liga MX Apertura
33439,Carlos Bueno,Ligue 1
26442,Leandro Gracián,Liga MX Apertura
55957,Álvaro González,Liga AUF Clausura
61546,Facundo Roncaglia,N/A
51354,Julio Barroso,N/A
74688,Ricardo Noir,N/A
67084,Fabián Monzón,N/A
42244,Mariano Tripodi,Torneo Clausura
40707,Sergio Orteman,Süper Lig
53332,Juan Forlín,2ª B - Grupo I
20006,Fabián Vargas,Série A
19951,José Calvo,LaLiga
17872,Pablo Mouche,Torneo Clausura
42244,Mariano Tripodi,2. Bundesliga
39097,Ezequiel Medrán,Liga Expansión MX Cl.
39097,Ezequiel Medrán,Torneo Clausura
30918,Pablo Bonvín,Torneo Clausura
30919,Miguel Caneo,Torneo Clausura
85492,Jonathan Philippe,N/A
