player_id,player name,to_club,to_league
12249,Éver Banega,LaLiga,España
39087,Cata Díaz,LaLiga,España
26465,Guillermo Marino,Liga MX Apertura,México
20003,Matías Silvestre,Serie A,Italia
53332,Juan Forlín,2ª B - Grupo I,España
20132,Juan Krupoviesa,Ligue 1,Francia
52907,Marcos Mondaini,,Ecuador
40707,Sergio Orteman,Süper Lig,Turquía
40896,Bruno Urribarri,Torneo Clausura,Argentina
33439,Carlos Bueno,Liguilla Pre-Libertadores,Uruguay
30775,Aldo Bobadilla,,Colombia
30918,Pablo Bonvín,Primera Nacional,Argentina
42244,Mariano Tripodi,Série A,Brasil
29465,Bruno Marioni,Liga MX Apertura,México
30919,Miguel Caneo,,Colombia
45310,Matías Cahais,Eredivisie,Países Bajos
19951,José Calvo,LaLiga,España
40707,Sergio Orteman,LaLiga,España
52903,Nicolás Bertolo,Liguilla Pre-Libertadores,Uruguay
42244,Mariano Tripodi,Torneo Clausura,Argentina
39097,Ezequiel Medrán,Torneo Clausura,Argentina
39097,Ezequiel Medrán,Liga Expansión MX Cl.,México
51354,Julio Barroso,Torneo Clausura,Argentina
55169,Leandro Díaz,Torneo Clausura,Argentina
35867,Andrés Franzoia,Torneo Clausura,Argentina
19969,Raúl Estévez,,N/A
3854,Juan Román Riquelme,LaLiga,España
20681,Clemente Rodríguez,Premier Liga,Rusia
