player_id,número,nombre y apellido,posicion,edad,fecha de nacimiento,pie,pais de orígen,altura,valor,ultima valoracion,club anterior
12556,12,Mauricio Caranta,Portero,29,31/07/1978,"1,84m",Argentina,0.0,N/A,N/A,N/A
39098,25,Pablo Migliore,Portero,26,27/01/1982,"1,91m",Argentina,0.0,N/A,N/A,N/A
7966,1,Javier García,Portero,21,29/01/1987,"1,80m",Argentina,0.0,25mil €,17/12/2025,N/A
55955,31,Josué Ayala,Portero,20,30/05/1988,"1,84m",Argentina,0.0,N/A,N/A,N/A
30767,29,Gabriel Paletta,Defensa central,22,15/02/1986,"1,90m",Italia,0.0,N/A,N/A,N/A
20003,2,Matías Silvestre,Defensa central,23,25/09/1984,"1,85m",Argentina,0.0,N/A,N/A,N/A
39095,20,Jonatan Maidana,Defensa central,22,29/07/1985,"1,85m",Argentina,0.0,N/A,N/A,N/A
18733,6,Julio Cáceres,Defensa central,28,05/10/1979,"1,81m",Paraguay,0.0,N/A,N/A,N/A
45310,6,Matías Cahais,Defensa central,20,24/12/1987,"1,86m",Argentina,0.0,N/A,N/A,N/A
51354,-,Julio Barroso,Defensa central,23,16/01/1985,"1,75m",Argentina,0.0,N/A,N/A,N/A
61546,13,Facundo Roncaglia,Defensa central,21,10/02/1987,"1,79m",Argentina,0.0,25mil €,17/12/2025,N/A
53332,2,Juan Forlín,Defensa central,20,10/01/1988,"1,80m",Argentina,0.0,N/A,N/A,N/A
75127,16,Ezequiel Muñoz,Defensa central,17,08/10/1990,"1,85m",Argentina,0.0,N/A,N/A,N/A
7924,3,Claudio Morel Rodríguez,Lateral izquierdo,30,02/02/1978,"1,75m",Paraguay,0.0,N/A,N/A,N/A
20132,16,Juan Krupoviesa,Lateral izquierdo,29,16/04/1979,"1,78m",Argentina,0.0,N/A,N/A,N/A
40896,26,Bruno Urribarri,Lateral izquierdo,21,06/11/1986,"1,76m",Argentina,0.0,N/A,N/A,N/A
67084,18,Fabián Monzón,Lateral izquierdo,21,13/04/1987,"1,83m",Argentina,0.0,N/A,N/A,N/A
73623,28,Luis Ibáñez,Lateral izquierdo,19,15/07/1988,"1,70m",Argentina,0.0,N/A,N/A,N/A
6985,4,Hugo Ibarra,Lateral derecho,34,01/04/1974,"1,71m",Argentina,0.0,N/A,N/A,N/A
19951,-,José Calvo,Lateral derecho,26,15/07/1981,"1,76m",Argentina,0.0,N/A,N/A,N/A
67079,30,Carlos Fondacaro,Lateral derecho,21,21/05/1987,"1,65m",Argentina,0.0,N/A,N/A,N/A
15646,5,Sebastián Battaglia,Pivote,27,08/11/1980,"1,80m",Argentina,0.0,N/A,N/A,N/A
68743,34,Exequiel Benavídez,Pivote,19,05/03/1989,"1,79m",Argentina,0.0,N/A,N/A,N/A
12249,24,Éver Banega,Mediocentro,20,29/06/1988,"1,74m",Argentina,0.0,600mil €,17/12/2025,N/A
19976,8,Pablo Ledesma,Mediocentro,24,04/02/1984,"1,78m",Argentina,0.0,N/A,N/A,N/A
55957,15,Álvaro González,Mediocentro,23,29/10/1984,"1,76m",Uruguay,0.0,N/A,N/A,N/A
20006,22,Fabián Vargas,Mediocentro,28,17/04/1980,"1,78m",Colombia,0.0,N/A,N/A,N/A
63596,33,Mariano Torres,Mediocentro,21,19/05/1987,"1,83m",Argentina,0.0,100mil €,30/12/2025,N/A
55959,35,Sebastián Nayar,Mediocentro,20,10/05/1988,"1,88m",Argentina,0.0,N/A,N/A,N/A
5847,26,Lucas Castromán,Interior derecho,27,02/10/1980,"1,8m",Argentina,0.0,N/A,N/A,N/A
30759,23,Jesús Dátolo,Interior izquierdo,24,19/05/1984,"1,75m",Argentina,0.0,N/A,N/A,N/A
3854,10,Juan Román Riquelme,Mediocentro ofensivo,30,24/06/1978,"1,82m",Argentina,0.0,N/A,N/A,N/A
26442,11,Leandro Gracián,Mediocentro ofensivo,25,06/08/1982,"1,70m",Argentina,0.0,N/A,N/A,N/A
19955,19,Neri Cardozo,Mediocentro ofensivo,21,08/08/1986,"1,72m",Argentina,0.0,N/A,N/A,N/A
55167,-,Damián Díaz,Mediocentro ofensivo,22,01/05/1986,"1,75m",Ecuador,0.0,75mil €,21/10/2025,N/A
74688,33,Ricardo Noir,Mediocentro ofensivo,21,26/02/1987,"1,76m",Argentina,0.0,N/A,N/A,N/A
68746,32,Cristian Chávez,Mediocentro ofensivo,22,16/06/1986,"1,69m",Argentina,0.0,25mil €,11/12/2025,N/A
75442,35,Nico Gaitán,Mediocentro ofensivo,20,23/02/1988,"1,74m",Argentina,0.0,N/A,N/A,N/A
17872,7,Pablo Mouche,Extremo izquierdo,20,11/10/1987,"1,77m",Argentina,0.0,N/A,N/A,N/A
52903,27,Nicolás Bertolo,Extremo izquierdo,22,02/01/1986,"1,80m",Argentina,0.0,N/A,N/A,N/A
39099,14,Rodrigo Palacio,Delantero centro,26,05/02/1982,"1,76m",Argentina,0.0,N/A,N/A,N/A
3412,9,Martín Palermo,Delantero centro,34,07/11/1973,"1,88m",Argentina,0.0,N/A,N/A,N/A
40822,17,Mauro Boselli,Delantero centro,23,22/05/1985,"1,81m",Argentina,0.0,N/A,N/A,N/A
7133,-,Luciano Figueroa,Delantero centro,27,19/05/1981,indeterminadom,Argentina,0.0,N/A,N/A,N/A
52907,18,Marcos Mondaini,Delantero centro,23,14/02/1985,"1,77m",Argentina,0.0,N/A,N/A,N/A
33439,21,Carlos Bueno,Delantero centro,28,10/05/1980,"1,78m",Uruguay,0.0,N/A,N/A,N/A
74693,34,Lucas Viatri,Delantero centro,21,29/03/1987,"1,85m",Argentina,0.0,N/A,N/A,N/A
85492,-,Jonathan Philippe,Delantero centro,20,24/01/1988,"1,83m",Argentina,0.0,N/A,N/A,N/A
