player_id,player_name,from_club,amount
445939,Omar Marmoush,Eintracht Fráncfort​​,75000000
466805,Nico González,FC Oporto,60000000
763079,Abdukodir Khusanov,RC Lens,40000000
1005575,Vitor Reis,SE Palmeiras,37000000
743591,Savinho,ESTAC Troyes,25000000
1121298,Juma Bah,Real Valladolid CF,6000000
53622,İlkay Gündoğan,FC Barcelona,0
743413,Nico O'Reilly,Manchester City U21,Libre / cesión
182712,João Cancelo,FC Barcelona,Libre / cesión
351749,Kalvin Phillips,West Ham United,Libre / cesión
627228,Yan Couto,Girona FC,Libre / cesión
994536,Claudio Echeverri,CA River Plate,Libre / cesión
668547,Máximo Perrone,UD Las Palmas,Libre / cesión
649452,Issa Kaboré,SL Benfica,Libre / cesión
576121,Josh Wilson-Esbrand,Cardiff City,Libre / cesión
