player_id,player name,to_club,amount
576024,Julián Alvarez,Atlético de Madrid,75000000
182712,João Cancelo,Al-Hilal SFC,25000000
503977,Taylor Harwood-Bellis,Southampton FC,23000000
366930,Sergio Gómez,Real Sociedad,8700000
627228,Yan Couto,Borussia Dortmund,0
433183,Tommy Doyle,Wolverhampton Wanderers,5000000
351749,Kalvin Phillips,Ipswich Town,5000000
95424,Kyle Walker,AC Milan,5000000
649452,Issa Kaboré,SL Benfica,5000000
668547,Máximo Perrone,Como 1907,5000000
649452,Issa Kaboré,SV Werder Bremen,5000000
576121,Josh Wilson-Esbrand,Stoke City,5000000
1121298,Juma Bah,RC Lens,5000000
