player_id,player_name,from_club
24633,Eduardo,SuperSport HNL
26764,Bacary Sagna,Ligue 1
29692,Lukasz Fabianski,Ekstraklasa
23914,Lassana Diarra,Premier League
26239,Pedro Botelho,N/A
34557,Nicklas Bendtner,N/A
42920,Fran Mérida,N/A
33783,Armand Traoré,N/A
44799,Mark Randall,N/A
44793,Gavin Hoyte,N/A
44792,Kieran Gibbs,N/A
7717,José Antonio Reyes,LaLiga
34561,Johan Djourou,Premier League
35773,Carlos Vela,2ª División
34562,Kerrea Gilbert,League One
44792,Kieran Gibbs,Championship
44799,Mark Randall,Championship
