player_id,player name,to_club,amount
661207,Oscar Bobb,Fulham FC,31200000
583199,James McAtee,Nottingham Forest,25500000
627228,Yan Couto,Borussia Dortmund,20000000
668547,Máximo Perrone,Como 1907,13000000
238223,Ederson,Fenerbahce,11000000
284730,Manuel Akanji,Inter de Milán,1000000
85941,Stefan Ortega,Nottingham Forest,580000
88755,Kevin De Bruyne,SSC Nápoles,Libre / Cesión
53622,İlkay Gündoğan,Galatasaray,Libre / Cesión
95424,Kyle Walker,Burnley FC,Libre / Cesión
1005575,Vitor Reis,Girona FC,Libre / Cesión
203460,Jack Grealish,Everton FC,Libre / Cesión
994536,Claudio Echeverri,Bayer 04 Leverkusen,Libre / Cesión
994536,Claudio Echeverri,Girona FC,Libre / Cesión
911736,Sverre Nypan,Middlesbrough FC,Libre / Cesión
351749,Kalvin Phillips,Sheffield United,Libre / Cesión
1121298,Juma Bah,OGC Niza,Libre / Cesión
649452,Issa Kaboré,Wrexham AFC,Libre / Cesión
576121,Josh Wilson-Esbrand,Radomiak Radom,Libre / Cesión
14555,Scott Carson,Sin equipoSin equipo,Libre / Cesión
