player_id,player name,to_club,to_league
39099,Rodrigo Palacio,Serie A,Italia
53332,Juan Forlín,LaLiga,España
61546,Facundo Roncaglia,LaLiga,España
26442,Leandro Gracián,Super League 1,Grecia
19937,Roberto Abbondanzieri,Série A,Brasil
45310,Matías Cahais,Torneo Clausura,Argentina
39098,Pablo Migliore,Torneo Clausura,Argentina
74688,Ricardo Noir,,Ecuador
20006,Fabián Vargas,LaLiga,España
55957,Álvaro González,Liga AUF Clausura,Uruguay
18733,Julio Cáceres,Série A,Brasil
52907,Marcos Mondaini,Liga DIMAYOR II,Colombia
26442,Leandro Gracián,Torneo Clausura,Argentina
55167,Damián Díaz,Torneo Clausura,Chile
67079,Carlos Fondacaro,Torneo Clausura,Argentina
59596,Lucas Pratto,Primera Nacional,Argentina
80125,Sebastián Battaglia,Primera Nacional,Argentina
100255,Sebastián Vidal,Primera Nacional,Argentina
112380,Alejandro Alfonso,Primera Nacional,Argentina
136897,Gabriel Rodríguez,Torneo Apertura,Chile
7133,Luciano Figueroa,Serie A,Italia
23193,Luiz Alberto,Série A,Brasil
74405,Bréyner Bonilla,,Colombia
