player_id,player name,to_club,to_league
535955,Nuno Tavares,Serie A,Italia
668268,Marquinhos,Série A,Brasil
425918,Jakub Kiwior,Liga Portugal,Portugal
890719,Ethan Nwaneri,Ligue 1,Francia
203853,Oleksandr Zinchenko,Eredivisie,Países Bajos
381967,Albert Sambi Lokonga,Bundesliga,Alemania
230784,Thomas Partey,LaLiga,España
300716,Kieran Tierney,Premiership,Escocia
102017,Jorginho,Série A,Brasil
537598,Fábio Vieira,Bundesliga,Alemania
203853,Oleksandr Zinchenko,Premier League,Inglaterra
340325,Reiss Nelson,Premier League,Inglaterra
493513,Karl Hein,Bundesliga,Alemania
331560,Takehiro Tomiyasu,,N/A
134425,Raheem Sterling,Premier League,Inglaterra
111819,Neto,Premier League,Inglaterra
